index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
485623,840,4,16/04/2015,1189,1,1,0,0,10424.326687571884
214073,848,5,31/07/2015,998,1,1,0,1,9484.192056293949
406145,124,6,12/07/2014,297,1,0,0,0,3576.046122079948
397642,1028,2,31/12/2013,438,1,0,0,1,4555.2224275824265
273960,95,2,24/09/2013,1099,1,1,0,0,9747.026040602883
12104,208,1,28/10/2013,323,1,0,0,0,3702.373442205426
361202,249,2,08/07/2014,449,1,0,0,0,4489.333501580753
79347,887,3,20/03/2013,614,1,1,0,0,6568.330645373964
462803,73,1,28/04/2014,601,1,1,0,1,6786.847528734885
141713,13,4,02/04/2015,501,1,1,0,1,6321.573180526437
703618,1049,2,03/09/2013,580,1,0,0,1,5255.33956721588
308360,144,4,05/02/2015,769,1,1,0,0,7791.018166708644
317995,847,3,14/08/2013,1018,1,1,0,1,9277.122282121913
364408,796,3,08/05/2013,717,1,0,0,0,5854.899589181005
27886,396,4,11/06/2015,1139,1,0,0,0,8795.49284754967
706814,1080,7,15/09/2013,0,0,0,0,0,0.0
514516,675,5,26/09/2014,338,1,0,0,0,3923.014908947982
577373,1099,1,01/12/2014,1236,1,1,0,0,10839.172494112921
190561,791,1,11/05/2015,858,1,0,0,0,7056.991608277953
92512,1014,2,24/03/2015,1476,1,0,0,0,10727.655749166559
565163,487,2,04/11/2014,737,1,1,0,0,7787.241883481911
500246,427,3,13/02/2013,701,1,0,0,1,5716.542722973158
223708,254,5,14/11/2014,282,1,1,0,0,5050.804321700765
555732,43,5,31/01/2014,710,1,0,0,0,5854.005205222347
654150,1074,2,09/06/2015,421,1,0,0,0,4454.056860698562
558350,549,6,29/06/2013,380,1,0,0,0,3886.367957343231
52167,1095,2,08/01/2013,720,1,1,0,0,7112.289664828684
296981,295,1,28/10/2013,612,1,0,0,1,5521.882661052805
332143,319,1,14/10/2013,863,1,0,0,1,7020.3275458232965
426553,1002,4,10/04/2014,642,1,0,0,0,5536.914809860173
481847,448,6,06/12/2014,544,1,0,0,0,5262.994178911671
100496,527,2,03/09/2013,1046,1,0,0,1,8071.340989503427
706377,255,5,12/04/2013,652,1,1,0,0,6827.92857928836
599169,581,5,04/07/2014,651,1,1,0,0,7105.789450718032
55294,185,6,05/01/2013,550,1,0,0,0,4680.042997167038
218737,244,6,22/11/2014,538,1,0,0,0,5207.243112366006
266706,1082,6,05/01/2013,877,1,0,0,0,6656.0783299739705
441953,216,5,20/03/2015,837,1,1,0,0,8262.014710870746
127184,350,4,05/03/2015,508,1,1,0,0,6254.25594915665
312223,748,1,31/03/2014,822,1,1,0,0,8012.715499874845
583377,718,1,08/12/2014,962,1,0,0,0,7791.55371364631
523743,739,5,21/02/2014,789,1,1,0,0,7759.767070423986
476775,614,7,21/12/2014,0,0,0,0,0,0.0
620142,673,2,18/02/2014,615,1,1,0,0,6704.371211017773
460092,83,1,10/06/2013,367,1,0,0,0,3782.9357022868935
169260,976,3,18/09/2013,598,1,0,0,0,5310.644836927415
177084,637,6,06/04/2013,518,1,0,0,0,4609.299568702059
645354,122,2,07/01/2014,714,1,1,0,0,7247.779248105362
645737,898,1,24/11/2014,1013,1,1,0,0,9481.27166728652
272578,1080,4,26/06/2014,710,1,0,0,0,6049.660822204489
600374,291,1,30/03/2015,1290,1,1,0,0,11012.54987749533
566038,24,4,03/01/2013,711,1,0,0,1,5723.43991832569
381862,1096,7,18/08/2013,0,0,0,0,0,0.0
535335,637,5,30/05/2014,860,1,0,0,0,6920.895442044886
499411,1002,2,02/06/2015,850,1,1,0,0,8438.3284747586
625219,666,1,10/03/2014,497,1,0,0,0,4620.250895547972
61823,1089,7,24/11/2013,0,0,0,0,0,0.0
653471,334,6,31/08/2013,515,1,0,0,0,4785.66129715991
441789,300,6,30/08/2014,951,1,0,0,1,7665.2270898632705
155435,207,1,22/09/2014,1166,1,0,0,0,8921.317227217834
226567,683,3,27/05/2015,854,1,0,0,0,7053.766680535744
107330,1094,2,14/05/2013,394,1,1,0,0,5311.9134710432845
149417,700,4,09/07/2015,576,1,0,0,0,5431.149990081321
191690,959,2,26/08/2014,744,1,0,0,0,6336.0007450229605
146544,766,7,22/06/2014,0,0,0,0,0,0.0
383603,1011,6,08/06/2013,977,1,0,0,0,7466.499476804573
452941,570,5,13/12/2013,676,1,0,0,0,5896.767739881179
629103,685,2,10/09/2013,689,1,1,0,0,7251.099809210107
30258,158,3,16/04/2014,681,1,1,0,1,7254.5711805848405
219501,66,5,29/05/2015,522,1,0,0,1,5123.239988287853
528607,76,2,30/07/2013,1080,1,1,0,0,9559.184974747477
397525,572,3,16/10/2013,458,1,0,0,0,4502.45777694328
314281,184,6,11/10/2014,510,1,0,0,0,4983.200118057604
489418,1034,5,06/12/2013,775,1,1,0,0,7886.875256613246
182776,559,7,11/08/2013,0,0,0,0,0,0.0
335928,862,2,23/12/2014,1561,1,0,0,1,11504.006185573817
198358,171,2,11/11/2014,962,1,1,0,0,9156.063429319358
400219,33,7,07/12/2014,0,0,0,0,0,0.0
427476,936,4,27/11/2014,963,1,1,0,0,9183.05310911237
31892,948,2,18/02/2014,1682,1,1,0,0,13152.168459045235
109374,371,6,04/05/2013,551,1,0,0,0,4846.537929438462
385320,242,1,05/05/2014,378,1,1,0,0,5376.500460106356
517169,133,5,17/01/2014,622,1,0,0,0,5303.899699101341
369733,1031,1,15/12/2014,681,1,1,0,0,7503.679471197771
71343,850,4,07/02/2013,710,1,1,0,0,7090.991573154635
42363,860,5,05/06/2015,833,1,1,0,0,8339.52632631734
612665,836,6,06/07/2013,301,1,0,0,0,3419.306489039038
428563,965,6,30/11/2013,908,1,0,0,0,7280.541164407448
610249,1096,1,26/01/2015,763,1,1,0,0,7741.812962127326
669222,504,3,03/09/2014,836,1,1,0,1,8376.40625201742
484348,230,1,30/12/2013,1327,1,0,0,1,9926.070474961249
194089,826,1,02/12/2013,1170,1,1,0,0,10268.592562328384
328888,975,2,30/07/2013,767,1,1,0,1,7740.85544634785
485880,602,2,28/10/2014,547,1,0,0,1,5302.149047806044
699868,953,5,19/09/2014,553,1,1,0,0,6614.101320498332
265929,187,6,02/11/2013,491,1,0,0,0,4723.986068965169
154648,792,5,18/10/2013,599,1,0,0,0,5357.12805422378
376328,1035,4,27/11/2014,744,1,1,0,0,7859.653299067402
530275,523,3,29/07/2015,1515,1,1,0,1,12605.764130655502
441109,723,4,04/04/2013,461,1,0,0,1,4335.339601322776
26050,1025,7,26/05/2013,0,0,0,0,0,0.0
247671,18,7,04/01/2015,0,0,0,0,0,0.0
615467,997,3,03/09/2014,378,1,1,0,1,5608.748201786308
267972,400,6,05/10/2013,805,1,0,0,0,6584.950643569697
22318,1047,2,09/07/2013,491,1,0,0,0,4571.389092558122
430083,819,1,02/09/2013,472,1,0,0,0,4528.289968752535
510014,668,1,02/06/2014,1562,1,1,0,0,12567.832303069881
343803,585,4,22/01/2015,666,1,0,0,0,5749.390392087807
85161,99,1,10/03/2014,404,1,0,0,0,4058.2591953918454
505852,965,6,22/11/2014,847,1,0,0,0,7074.5058580459445
266131,590,4,21/02/2013,376,1,1,0,0,5090.984203298518
397091,709,2,02/06/2015,1682,1,1,0,0,13466.039168628224
112013,58,7,20/10/2013,0,0,0,0,0,0.0
492019,409,7,09/02/2014,0,0,0,0,0,0.0
73240,850,6,04/04/2015,826,1,0,0,0,6814.013617512828
203948,1058,3,06/03/2013,737,1,1,0,0,7293.281577241491
603210,1067,7,13/04/2014,0,0,0,0,0,0.0
82813,777,1,21/04/2014,0,0,0,b,1,0.0
634511,155,3,21/05/2014,632,1,1,0,0,6932.349281184259
28171,598,1,29/06/2015,871,1,1,0,0,8600.577481014363
198571,493,2,01/07/2014,902,1,1,0,0,8618.635231810156
70073,628,7,03/08/2014,0,0,0,0,1,0.0
551321,524,1,30/12/2013,1193,1,0,0,1,9116.318993015913
509286,966,4,04/04/2013,585,1,0,0,1,5084.661868197552
24413,1022,5,27/12/2013,791,1,0,0,1,6683.137030001322
367168,380,3,05/03/2014,1720,1,1,0,0,13405.220530995284
103724,132,3,14/01/2015,579,1,1,0,0,6614.205336114799
704886,400,5,26/06/2015,999,1,0,0,0,7969.121422455064
568270,988,4,29/08/2013,790,1,1,0,0,7845.868861097959
627934,906,2,19/03/2013,1476,1,1,0,0,11776.019812062324
520091,1028,2,05/11/2013,689,1,1,0,0,7325.434538824367
505933,1100,6,23/03/2013,484,1,0,0,0,4385.655872351781
67603,759,1,14/01/2013,607,1,0,0,0,5036.272074605047
96570,223,1,27/10/2014,716,1,0,0,0,6248.988706796896
696883,936,7,15/03/2015,0,0,0,0,0,0.0
216455,780,6,11/07/2015,341,1,0,0,0,4013.681780709245
472114,259,5,28/11/2014,2677,1,1,0,0,19541.929744597175
437836,131,6,09/11/2013,582,1,0,0,0,5283.05613285728
467331,251,3,28/01/2015,2241,1,1,0,0,16675.869294340082
423483,1079,6,17/01/2015,517,1,0,0,0,4842.449225572345
533535,1003,3,05/03/2014,1029,1,1,0,0,9229.561769620457
82465,980,4,05/09/2013,450,1,0,0,0,4399.273212775937
245480,654,2,27/01/2015,766,1,1,0,0,7761.250899041421
155723,966,4,25/07/2013,517,1,0,0,1,4822.556713336089
167485,1020,1,22/09/2014,929,1,0,0,0,7489.144830045872
574217,969,3,19/03/2014,610,1,1,0,0,6715.906071664707
307718,1038,2,07/04/2015,490,1,0,0,1,4860.624411629513
250666,516,3,09/07/2014,453,1,0,0,1,4587.919263310381
233447,733,1,14/01/2013,3171,1,0,0,0,20530.32281869353
9408,595,6,31/05/2014,1881,1,0,0,0,13092.027473140683
532318,260,3,16/07/2014,962,1,1,0,1,9073.953011435107
213221,768,6,02/02/2013,1251,1,0,0,0,8952.643752223172
149118,940,1,14/01/2013,627,1,0,0,0,5157.130504746165
643815,364,4,27/06/2013,563,1,0,0,0,4989.604248348507
205464,506,3,22/07/2015,763,1,0,0,1,6651.300456316443
172737,671,3,29/05/2013,507,1,1,0,1,6087.506090542127
358803,300,6,24/01/2015,862,1,0,0,0,6936.421352256322
432064,84,2,17/06/2014,1563,1,1,0,0,12593.512810470012
243176,219,4,07/05/2015,455,1,1,0,0,6017.480045647069
165487,934,5,22/03/2013,764,1,1,0,0,7477.3872162179905
206630,125,3,01/04/2015,1906,1,1,0,1,14810.568725545541
380228,176,3,04/12/2013,757,1,1,0,0,7775.48432470049
278339,223,2,26/11/2013,675,1,0,0,0,5867.303763692267
125602,326,1,14/07/2014,429,1,1,0,0,5777.352600080601
707930,339,2,27/08/2013,745,1,1,0,0,7571.319048494741
647013,872,3,08/04/2015,659,1,0,0,1,5883.187318714685
404917,579,7,23/11/2014,0,0,0,0,0,0.0
607690,974,5,28/02/2014,1599,1,0,0,0,11262.675203604798
63394,979,7,12/04/2015,0,0,0,0,0,0.0
334403,880,3,04/06/2014,806,1,1,0,0,8002.001988522243
440195,910,7,31/03/2013,0,0,0,0,0,0.0
87636,1084,6,04/07/2015,614,1,0,0,0,5654.235145385086
189540,92,5,12/06/2015,453,1,0,0,0,4651.357866102946
18218,14,6,20/06/2015,402,1,0,0,0,4353.642248386168
396021,587,1,30/12/2013,960,1,0,0,1,7708.31828187214
442052,230,4,24/10/2013,856,1,1,0,0,8319.036410177825
397202,689,6,15/03/2014,589,1,0,0,0,5182.745536161354
251121,599,1,13/05/2013,1096,1,1,0,0,9552.73519660288
463013,596,7,22/12/2013,0,0,0,0,0,0.0
655331,576,1,11/03/2013,749,1,0,0,0,5971.32000300684
327407,141,4,26/06/2014,493,1,0,0,0,4738.346855173586
355157,751,1,21/04/2014,0,0,0,b,1,0.0
654124,877,5,01/03/2013,925,1,0,0,0,7021.782464319724
602473,375,2,23/04/2013,948,1,1,0,0,8631.034241698217
414480,230,1,08/12/2014,988,1,0,0,0,7948.669672829739
574764,545,3,22/01/2014,1087,1,1,0,0,9521.426556129882
136740,1022,1,04/03/2013,1093,1,1,0,0,9441.943288967246
240843,597,3,20/08/2014,756,1,1,0,1,7874.788166342594
130323,559,7,08/06/2014,0,0,0,0,0,0.0
688030,1024,6,18/07/2015,825,1,0,0,0,6947.6199968738365
43133,36,2,17/03/2015,1205,1,1,0,0,10481.882308288303
172856,702,2,28/05/2013,351,1,1,0,1,5143.50116304867
446048,623,7,10/02/2013,0,0,0,0,0,0.0
36534,105,4,17/10/2013,483,1,0,0,0,4654.839987012558
612801,902,2,19/11/2013,648,1,1,0,0,7096.003170535318
256750,11,6,11/04/2015,786,1,0,0,0,6581.460963980702
623446,1039,5,28/06/2013,629,1,0,0,0,5389.746240206994
63314,102,1,16/02/2015,1174,1,1,0,0,10252.802273387497
238452,543,5,18/10/2013,175,1,0,0,1,2868.0342385410913
43919,827,4,02/01/2014,1910,1,0,0,1,13140.649917603354
258378,110,3,08/10/2014,647,1,1,0,0,7208.175341629132
59774,945,1,05/01/2015,698,1,1,0,1,7394.635347226984
31637,582,3,12/03/2014,749,1,0,0,0,6145.685460111534
673741,554,4,16/01/2014,428,1,0,0,0,4130.2637543398305
659942,486,2,08/07/2014,384,1,0,0,1,4169.648506930738
349639,637,6,15/02/2014,520,1,0,0,0,4725.343656385259
394865,806,5,31/01/2014,578,1,0,0,0,5056.339566291135
255648,887,6,21/06/2014,462,1,0,0,0,4544.47042649053
379128,374,6,04/04/2015,668,1,0,0,0,5859.232019398129
540897,1025,5,04/01/2013,804,1,0,0,1,6286.740790874697
662220,638,2,06/08/2013,431,1,0,0,1,4318.431484054017
160268,123,6,09/05/2015,490,1,0,0,0,4830.578148896049
654290,905,4,19/02/2015,1108,1,1,0,0,9857.896971100417
599039,536,5,05/04/2013,989,1,0,0,1,7527.311329440505
651027,763,7,01/02/2015,0,0,0,0,0,0.0
553569,191,6,10/08/2013,694,1,0,0,0,5839.851626672433
271750,957,4,20/02/2014,948,1,1,0,0,8719.28241765278
709864,268,4,04/06/2015,618,1,1,0,0,7038.98902990768
300796,654,6,07/09/2013,266,1,0,0,0,3289.9940002636285
413674,612,6,07/09/2013,388,1,0,0,0,4027.230424124282
8402,747,3,27/08/2014,567,1,0,0,1,5340.8177139756735
310059,656,6,18/05/2013,380,1,0,0,0,3831.5267652323237
319105,368,5,05/04/2013,592,1,0,0,1,5128.271491139778
689752,959,3,18/09/2013,552,1,0,0,0,5032.670447602926
516276,329,2,03/02/2015,708,1,1,0,0,7419.781609992555
338342,97,3,22/07/2015,535,1,0,0,1,5273.514352707949
666229,314,2,13/08/2013,661,1,1,0,1,7118.490131710481
8353,463,7,11/01/2015,0,0,0,0,0,0.0
386012,258,1,20/05/2013,0,0,0,a,0,0.0
471619,283,3,13/11/2013,621,1,0,0,0,5523.96676120389
612347,556,1,15/04/2013,754,1,0,0,0,6047.21159590286
514445,388,5,24/01/2014,1211,1,1,0,0,10273.36716779042
396179,67,3,03/09/2014,837,1,1,0,1,8382.449173524452
590638,725,5,16/01/2015,677,1,1,0,0,7209.029988591967
683448,219,4,06/06/2013,416,1,1,0,0,5474.82466084481
218062,1077,2,10/02/2015,479,1,0,0,0,4644.094297343399
706606,322,4,23/05/2013,589,1,0,0,0,5101.043222171138
453487,814,3,20/02/2013,581,1,1,0,1,6401.578843160416
240904,134,7,30/06/2013,0,0,0,0,0,0.0
326681,54,4,11/07/2013,657,1,0,0,0,5577.1324075149605
272937,662,5,26/04/2013,854,1,1,0,0,8066.927137213643
11415,126,7,19/04/2015,0,0,0,0,0,0.0
436957,1001,6,30/11/2013,471,1,0,0,0,4639.784465824545
171033,657,4,13/02/2014,598,1,0,0,0,5194.073189149785
632521,590,4,14/03/2013,319,1,0,0,0,3376.791272151866
179002,193,3,25/12/2013,0,0,0,c,1,0.0
345971,168,6,21/09/2013,465,1,0,0,0,4510.863793667813
463457,16,1,22/07/2013,839,1,0,0,0,6691.345018120541
674866,244,1,04/02/2013,738,1,1,0,0,7256.265858173487
479231,545,7,08/02/2015,0,0,0,0,0,0.0
369184,1032,6,19/01/2013,492,1,0,0,0,4347.8819632581435
564608,290,5,31/05/2013,987,1,1,0,0,8917.621855405625
421305,548,4,24/01/2013,335,1,1,0,0,4806.711642898619
312789,733,1,04/08/2014,3508,1,1,0,1,24483.961395471415
548456,654,4,06/06/2013,716,1,1,0,0,7287.701112961222
195259,272,6,04/05/2013,377,1,0,0,0,3795.06958721095
669573,1017,3,20/03/2013,1176,1,1,0,0,9964.452532338793
599293,708,2,20/05/2014,462,1,1,0,0,5903.743452592054
33900,819,4,08/01/2015,454,1,1,0,0,5850.985113375704
74619,99,3,26/06/2013,372,1,0,0,0,3834.0970681081526
284898,982,2,10/12/2013,710,1,0,0,0,6098.299553942459
402135,683,5,03/04/2015,0,0,1,b,1,0.0
447277,194,3,16/10/2013,373,1,0,0,0,3988.8094488436473
588164,853,2,30/06/2015,1201,1,1,0,0,10596.050750735332
456931,53,1,28/04/2014,650,1,1,0,1,7082.950682580587
221701,281,4,07/02/2013,508,1,1,0,0,5870.3214287295705
535271,101,2,02/09/2014,879,1,1,0,0,8561.83780111937
171677,440,5,05/06/2015,769,1,1,0,1,8025.884253174358
226127,994,2,18/03/2014,435,1,1,0,0,5657.085635537223
414979,168,2,30/07/2013,930,1,1,0,1,8725.851651997771
500051,48,7,27/10/2013,0,0,0,0,0,0.0
329177,652,6,15/02/2014,501,1,0,0,0,4610.528147751233
541113,934,6,11/01/2014,474,1,0,0,0,4401.692281699972
124681,223,6,29/03/2014,589,1,0,0,0,5201.07394966163
284177,378,5,26/12/2014,0,0,0,c,1,0.0
90749,865,3,17/07/2013,624,1,1,0,0,6786.593526423094
237894,466,5,31/01/2014,861,1,0,0,0,6766.486352787644
506152,789,5,14/02/2014,546,1,0,0,0,4881.150443175808
622882,61,7,07/06/2015,0,0,0,0,0,0.0
34430,765,4,19/12/2013,1068,1,1,0,0,9674.47049928765
268594,673,1,23/02/2015,500,1,0,0,0,4788.014890098886
368485,258,3,25/06/2014,444,1,0,0,0,4440.93452893506
602478,740,3,08/10/2014,499,1,1,0,0,6313.8229585850495
202788,1080,1,16/09/2013,764,1,0,0,0,6311.151462312788
675955,918,5,20/06/2014,661,1,1,0,0,7146.725128285238
611958,857,6,22/06/2013,1004,1,0,0,0,7647.986770995252
597571,837,1,01/07/2013,482,1,1,0,0,5907.551914135285
317074,516,7,01/03/2015,0,0,0,0,0,0.0
380943,446,2,27/05/2014,505,1,0,0,0,4771.730789861816
649251,835,4,30/05/2013,0,0,1,a,0,0.0
386136,140,7,03/02/2013,0,0,0,0,0,0.0
411910,207,3,14/08/2013,1584,1,1,0,0,12624.310951806372
119756,961,4,29/01/2015,668,1,1,0,0,7171.662936135777
251963,772,2,18/03/2014,507,1,1,0,0,6092.175984045141
292719,1089,2,02/09/2014,1050,1,1,0,0,9595.177378825727
77065,521,3,05/03/2014,421,1,1,0,0,5555.465493331139
206967,823,5,17/01/2014,600,1,0,0,0,5170.9554259461
521339,436,6,14/09/2013,426,1,0,0,0,4266.025648142502
363365,483,7,09/03/2014,0,0,0,0,0,0.0
481077,215,2,25/03/2014,333,1,0,0,0,3648.849354284059
711386,109,5,29/05/2015,802,1,0,0,0,6742.153106954647
66970,858,1,16/12/2013,590,1,1,0,0,6782.0265017368365
435729,425,4,05/03/2015,501,1,1,0,0,6211.955498607247
426284,357,5,24/07/2015,905,1,0,0,1,7512.013655104034
435236,255,1,02/02/2015,575,1,1,0,0,6614.763877161371
199039,798,6,07/02/2015,343,1,0,0,0,3818.3294552053558
99250,366,6,23/03/2013,304,1,0,0,0,3297.930001081899
580140,534,2,07/04/2015,510,1,0,0,1,4981.48284177063
254820,179,5,20/06/2014,1176,1,1,0,0,10258.829704418487
155130,258,2,03/09/2013,464,1,0,0,1,4554.360672397539
503682,693,5,29/08/2014,384,1,0,0,1,4237.581422970397
288534,999,4,24/10/2013,685,1,1,0,1,7358.801735780027
67050,834,6,19/04/2014,492,1,0,0,0,4642.2591353378375
174771,512,4,31/10/2013,1410,1,0,0,1,10348.06154086109
442288,818,2,23/04/2013,662,1,1,0,0,6902.758690680552
606734,534,6,12/10/2013,606,1,0,0,0,5391.573470415955
431156,1084,2,17/12/2013,1099,1,1,0,0,9859.182721220597
424121,34,2,10/03/2015,861,1,0,0,0,6992.930608827679
557753,101,4,27/03/2014,686,1,0,0,0,5784.618991060182
520831,187,1,02/03/2015,885,1,1,0,0,8528.509840137674
376589,20,1,23/09/2013,1041,1,1,0,0,9395.227420800773
7670,828,7,26/10/2014,0,0,0,0,0,0.0
303546,434,1,12/08/2013,823,1,1,0,1,8096.1342434604885
236740,738,1,04/05/2015,864,1,1,0,0,8485.107424853835
145734,351,5,07/03/2014,569,1,1,0,0,6452.436221160984
134420,1020,4,30/01/2014,905,1,0,0,0,7031.0657267051865
691699,86,7,11/08/2013,0,0,0,0,0,0.0
233889,266,3,17/06/2015,573,1,1,0,0,6784.07680319756
653554,608,5,20/06/2014,1024,1,1,0,0,9340.305635346158
481046,708,5,21/02/2014,493,1,1,0,1,6044.167207644321
423103,734,3,05/02/2014,605,1,1,0,0,6626.922754839936
693486,776,7,07/06/2015,0,0,0,0,0,0.0
90193,1060,2,09/04/2013,853,1,1,0,0,8038.628285027749
119482,182,2,29/04/2014,507,1,1,0,0,6147.017176156107
525167,542,3,16/01/2013,431,1,0,0,0,3975.336234149174
239754,602,1,06/05/2013,610,1,0,0,0,5205.688643140427
332806,101,4,07/11/2013,777,1,1,0,0,7859.829976230918
142056,784,7,30/06/2013,0,0,0,0,0,0.0
673000,679,7,17/11/2013,0,0,0,0,0,0.0
567353,535,4,14/08/2014,793,1,0,0,1,6689.498733462649
696641,844,4,06/02/2014,516,1,1,0,0,6090.411913104937
628766,595,7,24/05/2015,0,0,0,0,0,0.0
544695,25,6,30/03/2013,1831,1,0,0,0,12534.635349104705
652921,416,3,03/12/2014,1819,1,1,0,0,14364.814077511604
436682,539,4,22/01/2015,966,1,0,0,0,7562.266844204278
158580,77,3,28/08/2013,642,1,1,0,0,6950.207305660995
184394,641,2,09/07/2013,493,1,0,0,0,4583.474935572245
523534,445,6,10/01/2015,1201,1,0,0,0,8966.643329647719
133026,318,5,03/05/2013,822,1,1,0,0,7883.882979741087
296285,394,3,13/11/2013,539,1,0,0,0,5028.4471976254135
14477,761,5,07/02/2014,1014,1,1,0,1,9174.200899319607
130799,706,2,28/07/2015,578,1,1,0,0,6869.132602843747
